"fips","state","abb","year","key","value"
"40","Oklahoma","OK","1970","non-resident_hunting_licenses_tags_permits_stamps",5292
"41","Oregon","OR","1970","non-resident_hunting_licenses_tags_permits_stamps",8801
"42","Pennsylvania","PA","1970","non-resident_hunting_licenses_tags_permits_stamps",109435
"44","Rhode Island","RI","1970","non-resident_hunting_licenses_tags_permits_stamps",370
"45","South Carolina","SC","1970","non-resident_hunting_licenses_tags_permits_stamps",10876
"46","South Dakota","SD","1970","non-resident_hunting_licenses_tags_permits_stamps",38634
"47","Tennessee","TN","1970","non-resident_hunting_licenses_tags_permits_stamps",10939
"48","Texas","TX","1970","non-resident_hunting_licenses_tags_permits_stamps",13429
"49","Utah","UT","1970","non-resident_hunting_licenses_tags_permits_stamps",20395
"50","Vermont","VT","1970","non-resident_hunting_licenses_tags_permits_stamps",47957
"51","Virginia","VA","1970","non-resident_hunting_licenses_tags_permits_stamps",57396
"53","Washington","WA","1970","non-resident_hunting_licenses_tags_permits_stamps",3106
"54","West Virginia","WV","1970","non-resident_hunting_licenses_tags_permits_stamps",20758
"55","Wisconsin","WI","1970","non-resident_hunting_licenses_tags_permits_stamps",25109
"56","Wyoming","WY","1970","non-resident_hunting_licenses_tags_permits_stamps",86295
"01","Alabama","AL","1970","total_hunting_licenses_tags_permits_stamps",355169
"02","Alaska","AK","1970","total_hunting_licenses_tags_permits_stamps",80576
"04","Arizona","AZ","1970","total_hunting_licenses_tags_permits_stamps",345510
"05","Arkansas","AR","1970","total_hunting_licenses_tags_permits_stamps",283295
"06","California","CA","1970","total_hunting_licenses_tags_permits_stamps",1477751
"08","Colorado","CO","1970","total_hunting_licenses_tags_permits_stamps",422616
"09","Connecticut","CT","1970","total_hunting_licenses_tags_permits_stamps",77488
"10","Delaware","DE","1970","total_hunting_licenses_tags_permits_stamps",26271
"12","Florida","FL","1970","total_hunting_licenses_tags_permits_stamps",245900
"13","Georgia","GA","1970","total_hunting_licenses_tags_permits_stamps",360602
"15","Hawaii","HI","1970","total_hunting_licenses_tags_permits_stamps",9424
"16","Idaho","ID","1970","total_hunting_licenses_tags_permits_stamps",499042
"17","Illinois","IL","1970","total_hunting_licenses_tags_permits_stamps",438088
"18","Indiana","IN","1970","total_hunting_licenses_tags_permits_stamps",526273
"19","Iowa","IA","1970","total_hunting_licenses_tags_permits_stamps",367869
"20","Kansas","KS","1970","total_hunting_licenses_tags_permits_stamps",229103
"21","Kentucky","KY","1970","total_hunting_licenses_tags_permits_stamps",258987
"22","Louisiana","LA","1970","total_hunting_licenses_tags_permits_stamps",460651
"23","Maine","ME","1970","total_hunting_licenses_tags_permits_stamps",202949
"24","Maryland","MD","1970","total_hunting_licenses_tags_permits_stamps",265831
"25","Massachusetts","MA","1970","total_hunting_licenses_tags_permits_stamps",142507
"26","Michigan","MI","1970","total_hunting_licenses_tags_permits_stamps",1332357
"27","Minnesota","MN","1970","total_hunting_licenses_tags_permits_stamps",512923
"28","Mississippi","MS","1970","total_hunting_licenses_tags_permits_stamps",414558
"29","Missouri","MO","1970","total_hunting_licenses_tags_permits_stamps",600751
"30","Montana","MT","1970","total_hunting_licenses_tags_permits_stamps",627489
"31","Nebraska","NE","1970","total_hunting_licenses_tags_permits_stamps",347905
"32","Nevada","NV","1970","total_hunting_licenses_tags_permits_stamps",108673
"33","New Hampshire","NH","1970","total_hunting_licenses_tags_permits_stamps",103484
"34","New Jersey","NJ","1970","total_hunting_licenses_tags_permits_stamps",229527
"35","New Mexico","NM","1970","total_hunting_licenses_tags_permits_stamps",127091
"36","New York","NY","1970","total_hunting_licenses_tags_permits_stamps",1377929
"37","North Carolina","NC","1970","total_hunting_licenses_tags_permits_stamps",588176
"38","North Dakota","ND","1970","total_hunting_licenses_tags_permits_stamps",186448
"39","Ohio","OH","1970","total_hunting_licenses_tags_permits_stamps",585852
"40","Oklahoma","OK","1970","total_hunting_licenses_tags_permits_stamps",307748
"41","Oregon","OR","1970","total_hunting_licenses_tags_permits_stamps",712799
"42","Pennsylvania","PA","1970","total_hunting_licenses_tags_permits_stamps",1682564
"44","Rhode Island","RI","1970","total_hunting_licenses_tags_permits_stamps",19604
"45","South Carolina","SC","1970","total_hunting_licenses_tags_permits_stamps",183529
"46","South Dakota","SD","1970","total_hunting_licenses_tags_permits_stamps",297892
"47","Tennessee","TN","1970","total_hunting_licenses_tags_permits_stamps",582948
"48","Texas","TX","1970","total_hunting_licenses_tags_permits_stamps",966163
"49","Utah","UT","1970","total_hunting_licenses_tags_permits_stamps",228554
"50","Vermont","VT","1970","total_hunting_licenses_tags_permits_stamps",164540
"51","Virginia","VA","1970","total_hunting_licenses_tags_permits_stamps",834941
"53","Washington","WA","1970","total_hunting_licenses_tags_permits_stamps",675947
"54","West Virginia","WV","1970","total_hunting_licenses_tags_permits_stamps",247631
"55","Wisconsin","WI","1970","total_hunting_licenses_tags_permits_stamps",837357
"56","Wyoming","WY","1970","total_hunting_licenses_tags_permits_stamps",222575
"01","Alabama","AL","1970","gross_cost_to_resident_hunters",880547
"02","Alaska","AK","1970","gross_cost_to_resident_hunters",333494
"04","Arizona","AZ","1970","gross_cost_to_resident_hunters",1147018
"05","Arkansas","AR","1970","gross_cost_to_resident_hunters",938879
"06","California","CA","1970","gross_cost_to_resident_hunters",4308302
"08","Colorado","CO","1970","gross_cost_to_resident_hunters",2652361
"09","Connecticut","CT","1970","gross_cost_to_resident_hunters",269869
"10","Delaware","DE","1970","gross_cost_to_resident_hunters",124325
"12","Florida","FL","1970","gross_cost_to_resident_hunters",1438337
"13","Georgia","GA","1970","gross_cost_to_resident_hunters",1133958
"15","Hawaii","HI","1970","gross_cost_to_resident_hunters",67973
"16","Idaho","ID","1970","gross_cost_to_resident_hunters",1027844
"17","Illinois","IL","1970","gross_cost_to_resident_hunters",1391644
"18","Indiana","IN","1970","gross_cost_to_resident_hunters",1394072
"19","Iowa","IA","1970","gross_cost_to_resident_hunters",1077091
"20","Kansas","KS","1970","gross_cost_to_resident_hunters",616458
"21","Kentucky","KY","1970","gross_cost_to_resident_hunters",991715
"22","Louisiana","LA","1970","gross_cost_to_resident_hunters",900744
"23","Maine","ME","1970","gross_cost_to_resident_hunters",575642
"24","Maryland","MD","1970","gross_cost_to_resident_hunters",1185285
"25","Massachusetts","MA","1970","gross_cost_to_resident_hunters",536248
"26","Michigan","MI","1970","gross_cost_to_resident_hunters",5472449
"27","Minnesota","MN","1970","gross_cost_to_resident_hunters",3156247
"28","Mississippi","MS","1970","gross_cost_to_resident_hunters",942910
"29","Missouri","MO","1970","gross_cost_to_resident_hunters",2918468
"30","Montana","MT","1970","gross_cost_to_resident_hunters",959900
"31","Nebraska","NE","1970","gross_cost_to_resident_hunters",1088395
"32","Nevada","NV","1970","gross_cost_to_resident_hunters",430322
"33","New Hampshire","NH","1970","gross_cost_to_resident_hunters",249233
"34","New Jersey","NJ","1970","gross_cost_to_resident_hunters",1034710
"35","New Mexico","NM","1970","gross_cost_to_resident_hunters",894007
"36","New York","NY","1970","gross_cost_to_resident_hunters",4071753
"37","North Carolina","NC","1970","gross_cost_to_resident_hunters",2039928
"38","North Dakota","ND","1970","gross_cost_to_resident_hunters",415765
"39","Ohio","OH","1970","gross_cost_to_resident_hunters",2379204
"40","Oklahoma","OK","1970","gross_cost_to_resident_hunters",1095442
"41","Oregon","OR","1970","gross_cost_to_resident_hunters",2804346
"42","Pennsylvania","PA","1970","gross_cost_to_resident_hunters",5840795
"44","Rhode Island","RI","1970","gross_cost_to_resident_hunters",53842
"45","South Carolina","SC","1970","gross_cost_to_resident_hunters",880570
"46","South Dakota","SD","1970","gross_cost_to_resident_hunters",783600
"47","Tennessee","TN","1970","gross_cost_to_resident_hunters",1711416
"48","Texas","TX","1970","gross_cost_to_resident_hunters",2333832
"49","Utah","UT","1970","gross_cost_to_resident_hunters",1045506
"50","Vermont","VT","1970","gross_cost_to_resident_hunters",292311
"51","Virginia","VA","1970","gross_cost_to_resident_hunters",1680358
"53","Washington","WA","1970","gross_cost_to_resident_hunters",2908859
"54","West Virginia","WV","1970","gross_cost_to_resident_hunters",632428
"55","Wisconsin","WI","1970","gross_cost_to_resident_hunters",4067998
"56","Wyoming","WY","1970","gross_cost_to_resident_hunters",538168
"01","Alabama","AL","1970","gross_cost_to_non-resident_hunters",128372
"02","Alaska","AK","1970","gross_cost_to_non-resident_hunters",550415
"04","Arizona","AZ","1970","gross_cost_to_non-resident_hunters",315859
"05","Arkansas","AR","1970","gross_cost_to_non-resident_hunters",371914
"06","California","CA","1970","gross_cost_to_non-resident_hunters",53580
"08","Colorado","CO","1970","gross_cost_to_non-resident_hunters",4114175
"09","Connecticut","CT","1970","gross_cost_to_non-resident_hunters",11168
"10","Delaware","DE","1970","gross_cost_to_non-resident_hunters",28876
"12","Florida","FL","1970","gross_cost_to_non-resident_hunters",48329
"13","Georgia","GA","1970","gross_cost_to_non-resident_hunters",103172
"15","Hawaii","HI","1970","gross_cost_to_non-resident_hunters",5415
"16","Idaho","ID","1970","gross_cost_to_non-resident_hunters",1208399
"17","Illinois","IL","1970","gross_cost_to_non-resident_hunters",168336
"18","Indiana","IN","1970","gross_cost_to_non-resident_hunters",69056
"19","Iowa","IA","1970","gross_cost_to_non-resident_hunters",346520
"20","Kansas","KS","1970","gross_cost_to_non-resident_hunters",350979
"21","Kentucky","KY","1970","gross_cost_to_non-resident_hunters",102296
"22","Louisiana","LA","1970","gross_cost_to_non-resident_hunters",56738
"23","Maine","ME","1970","gross_cost_to_non-resident_hunters",1317468
"24","Maryland","MD","1970","gross_cost_to_non-resident_hunters",225915
"25","Massachusetts","MA","1970","gross_cost_to_non-resident_hunters",29591
"26","Michigan","MI","1970","gross_cost_to_non-resident_hunters",713434
"27","Minnesota","MN","1970","gross_cost_to_non-resident_hunters",93443
"28","Mississippi","MS","1970","gross_cost_to_non-resident_hunters",291512
"29","Missouri","MO","1970","gross_cost_to_non-resident_hunters",366123
"30","Montana","MT","1970","gross_cost_to_non-resident_hunters",1110353
"31","Nebraska","NE","1970","gross_cost_to_non-resident_hunters",411391
"32","Nevada","NV","1970","gross_cost_to_non-resident_hunters",329414
"33","New Hampshire","NH","1970","gross_cost_to_non-resident_hunters",693355
"34","New Jersey","NJ","1970","gross_cost_to_non-resident_hunters",53774
"35","New Mexico","NM","1970","gross_cost_to_non-resident_hunters",307862
"36","New York","NY","1970","gross_cost_to_non-resident_hunters",721331
"37","North Carolina","NC","1970","gross_cost_to_non-resident_hunters",166062
"38","North Dakota","ND","1970","gross_cost_to_non-resident_hunters",167846
"39","Ohio","OH","1970","gross_cost_to_non-resident_hunters",46700
"40","Oklahoma","OK","1970","gross_cost_to_non-resident_hunters",84365
"41","Oregon","OR","1970","gross_cost_to_non-resident_hunters",269275
"42","Pennsylvania","PA","1970","gross_cost_to_non-resident_hunters",2604190
"44","Rhode Island","RI","1970","gross_cost_to_non-resident_hunters",3700
"45","South Carolina","SC","1970","gross_cost_to_non-resident_hunters",175768
"46","South Dakota","SD","1970","gross_cost_to_non-resident_hunters",531898
"47","Tennessee","TN","1970","gross_cost_to_non-resident_hunters",121894
"48","Texas","TX","1970","gross_cost_to_non-resident_hunters",251724
"49","Utah","UT","1970","gross_cost_to_non-resident_hunters",880856
"50","Vermont","VT","1970","gross_cost_to_non-resident_hunters",1096853
"51","Virginia","VA","1970","gross_cost_to_non-resident_hunters",453827
"53","Washington","WA","1970","gross_cost_to_non-resident_hunters",67310
